Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
01/23/2020,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/17/2020,52,1,1,8,8,14,9,7,2,3,0,19,32,1,7,5,15,23,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
03/09/2020,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/28/2020,318,4,2,49,48,61,67,42,30,19,0,145,172,1,55,10,168,51,12,22,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,0,1,0
03/06/2020,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/07/2020,580,25,2,80,99,91,102,99,58,49,0,321,257,2,113,22,253,93,25,74,0,0,0,1,5,4,10,5,0,11,14,0,6,0,16,1,2,0
03/08/2020,3,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2020,4,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/31/2020,379,16,5,45,74,65,74,55,37,24,0,181,195,3,68,11,183,76,9,32,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0
03/16/2020,34,1,0,5,6,9,7,5,1,1,0,21,13,0,2,1,14,17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
04/19/2020,511,33,13,78,82,75,80,85,45,53,0,228,279,4,169,21,165,44,14,98,0,0,0,2,7,8,4,12,0,11,22,0,12,4,12,4,1,0
05/05/2020,985,54,40,164,173,199,169,121,52,66,1,509,449,27,364,17,145,99,38,322,0,1,1,1,0,12,16,23,0,25,29,0,17,3,20,13,1,0
05/02/2020,805,46,39,146,161,154,135,94,52,24,0,388,401,16,298,18,111,69,34,275,0,0,0,1,9,13,9,14,0,18,28,0,10,3,22,10,1,0
