"","Pop_den","City"
"1",2135.01,"Shanghai"
"2",714.2,"Beijing"
"3",812.16,"Tianjin"
"27063",137.63,"Hanzhong"
"5960",145.58,"Shiyan"
"17261",186.96,"Guangyuan"
"14598",189.74,"Yichang"
"21508",198.23,"Fuzhou"
"5183",235.1,"Lanzhou"
"23125",237.04,"Kunming"
"42782",240.5,"Jingmen"
"52592",261.52,"Suizhou"
"40092",261.82,"Mianyang"
"232",265.76,"Sanya"
"20465",272.84,"Huizhou"
"9505",276.47,"Xianning"
"23642",286.91,"Jingdezhen"
"6839",296.99,"Nanning"
"24490",398.29,"Hangzhou"
"55386",415.4,"Huanggang"
"45579",436.89,"Guiyang"
"42348",454.48,"Jingzhou"
"39213",504.4,"Fuzhou"
"10340",541.42,"Tangshan"
"37403",544.46,"Zhuhai"
"55989",550.7,"Huangshi"
"12638",565.93,"Xiaogan"
"39045",591.53,"Shijiazhuang"
"1980",592.31,"Linyi"
"8166",594.92,"Taizhou"
"13272",595.84,"Ningbo"
"54291",605.72,"Zhumadian"
"15456",617.15,"Suzhou"
"33075",635.61,"Wenzhou"
"7146",644.33,"Nanchang"
"19855",656.58,"Deyang"
"8454",658.37,"Hefei"
"53253",671.14,"Qingdao"
"965",673.43,"Dongguan"
"21136",688.88,"Yangzhou"
"48929",697.67,"Ezhou"
"47366",702.22,"Suining"
"50733",702.82,"Zhenjiang"
"30662",728.87,"Jinan"
"29930",864.69,"Taizhou"
"32232",882.93,"Shenzhen"
"20890",891.86,"Chengdu"
"7244",902.39,"Nantong"
"48240",908.49,"Zhengzhou"
"3675",917.79,"Foshan"
"6392",918.32,"Nanjing"
"26380",944.24,"Wuhan"
"22618",946.71,"Wuxi"
"41752",966.97,"Suzhou"
"17735",1007.4,"Guangzhou"
