"","City","Date","CMI","Province","Start.Date","Policy.A..Complete.Shutdown.","Policy.B..Partial.Shutdowns.","Policy.C..Checkpoints.and.Quarantine.Zones.","population","ConfCount"
"1","Beijing",2020-01-22,3.9546,"Beijing","2-10-20",0,0,1,11716620,10
"2","Beijing",2020-01-23,3.0974,"Beijing","2-10-20",0,0,1,11716620,22
"3","Beijing",2020-01-24,2.4029,"Beijing","2-10-20",0,0,1,11716620,36
"4","Beijing",2020-01-25,1.8254,"Beijing","2-10-20",0,0,1,11716620,41
"5","Beijing",2020-01-26,1.6544,"Beijing","2-10-20",0,0,1,11716620,68
"6","Beijing",2020-01-27,1.4808,"Beijing","2-10-20",0,0,1,11716620,80
"7","Beijing",2020-01-28,1.386,"Beijing","2-10-20",0,0,1,11716620,91
"8","Beijing",2020-01-29,1.4498,"Beijing","2-10-20",0,0,1,11716620,111
"9","Beijing",2020-01-30,1.3431,"Beijing","2-10-20",0,0,1,11716620,114
"10","Beijing",2020-01-31,1.5133,"Beijing","2-10-20",0,0,1,11716620,139
"11","Beijing",2020-02-01,1.4764,"Beijing","2-10-20",0,0,1,11716620,168
"12","Beijing",2020-02-02,1.3508,"Beijing","2-10-20",0,0,1,11716620,191
"13","Beijing",2020-02-03,1.8071,"Beijing","2-10-20",0,0,1,11716620,212
"14","Beijing",2020-02-04,1.6746,"Beijing","2-10-20",0,0,1,11716620,228
"15","Beijing",2020-02-05,1.563,"Beijing","2-10-20",0,0,1,11716620,253
"16","Beijing",2020-02-06,1.4363,"Beijing","2-10-20",0,0,1,11716620,274
"17","Beijing",2020-02-07,1.6097,"Beijing","2-10-20",0,0,1,11716620,297
"18","Beijing",2020-02-08,1.3753,"Beijing","2-10-20",0,0,1,11716620,315
"19","Beijing",2020-02-09,1.3557,"Beijing","2-10-20",0,0,1,11716620,326
"20","Beijing",2020-02-10,2.2462,"Beijing","2-10-20",0,0,1,11716620,337
"21","Beijing",2020-02-11,2.0881,"Beijing","2-10-20",0,0,1,11716620,342
"22","Beijing",2020-02-12,2.0954,"Beijing","2-10-20",0,0,1,11716620,352
"23","Beijing",2020-02-13,2.1563,"Beijing","2-10-20",0,0,1,11716620,366
"24","Beijing",2020-02-14,1.863,"Beijing","2-10-20",0,0,1,11716620,372
"25","Beijing",2020-02-15,1.3779,"Beijing","2-10-20",0,0,1,11716620,375
"26","Beijing",2020-02-16,1.4317,"Beijing","2-10-20",0,0,1,11716620,380
"27","Beijing",2020-02-17,2.4975,"Beijing","2-10-20",0,0,1,11716620,381
"28","Beijing",2020-02-18,2.4258,"Beijing","2-10-20",0,0,1,11716620,387
"29","Beijing",2020-02-19,2.417,"Beijing","2-10-20",0,0,1,11716620,393
"30","Beijing",2020-02-20,2.4069,"Beijing","2-10-20",0,0,1,11716620,395
"31","Beijing",2020-02-21,2.4652,"Beijing","2-10-20",0,0,1,11716620,396
"32","Beijing",2020-02-22,1.5908,"Beijing","2-10-20",0,0,1,11716620,399
"33","Beijing",2020-02-23,1.5594,"Beijing","2-10-20",0,0,1,11716620,399
"34","Beijing",2020-02-24,2.7557,"Beijing","2-10-20",0,0,1,11716620,399
"35","Beijing",2020-02-25,2.6773,"Beijing","2-10-20",0,0,1,11716620,400
"36","Beijing",2020-02-26,2.7353,"Beijing","2-10-20",0,0,1,11716620,400
"37","Beijing",2020-02-27,2.7116,"Beijing","2-10-20",0,0,1,11716620,410
"38","Beijing",2020-02-28,2.792,"Beijing","2-10-20",0,0,1,11716620,410
