city,date,mobility,stay_at_home,pop,covid_cases,mob_change
Wuhan,1/1/20,4.2826,0,11081000,#N/A,0
Wuhan,1/2/20,5.2757,0,11081000,#N/A,23.18918414
Wuhan,1/3/20,5.334,0,11081000,#N/A,24.5505067
Wuhan,1/4/20,4.3842,0,11081000,#N/A,2.372390604
Wuhan,1/5/20,4.1317,0,11081000,#N/A,-3.523560454
Wuhan,1/6/20,5.2662,0,11081000,#N/A,22.96735628
Wuhan,1/7/20,5.2815,0,11081000,#N/A,23.32461589
Wuhan,1/8/20,5.3214,0,11081000,#N/A,24.25629291
Wuhan,1/9/20,5.1513,0,11081000,#N/A,20.28440667
Wuhan,1/10/20,5.2171,0,11081000,#N/A,21.82085649
Wuhan,1/11/20,4.4613,0,11081000,#N/A,4.172698828
Wuhan,1/12/20,4.2045,0,11081000,#N/A,-1.823658525
Wuhan,1/13/20,5.1656,0,11081000,#N/A,20.61831598
Wuhan,1/14/20,5.1121,0,11081000,#N/A,19.36907486
Wuhan,1/15/20,4.9132,0,11081000,44,14.72469995
Wuhan,1/16/20,4.9241,0,11081000,45,14.97921823
Wuhan,1/17/20,4.8733,0,11081000,62,13.79302293
Wuhan,1/18/20,4.0436,0,11081000,121,-5.580721991
Wuhan,1/19/20,4.3249,0,11081000,198,0.987717742
Wuhan,1/20/20,4.2152,0,11081000,258,-1.573810302
Wuhan,1/21/20,3.5992,0,11081000,365,-15.95759585
Wuhan,1/22/20,2.8838,0,11081000,425,-32.66240134
Wuhan,1/23/20,1.9621,1,11081000,495,-54.18437398
Wuhan,1/24/20,1.2811,1,11081000,572,-70.08592911
Wuhan,1/25/20,0.8931,1,11081000,618,-79.14584598
Wuhan,1/26/20,0.6259,1,11081000,698,-85.38504647
Wuhan,1/27/20,0.6573,1,11081000,1590,-84.65184701
Wuhan,1/28/20,0.6747,1,11081000,1905,-84.24555177
Wuhan,1/29/20,0.6829,1,11081000,2261,-84.0540793
Wuhan,1/30/20,0.6645,1,11081000,2639,-84.48372484
Wuhan,1/31/20,0.6906,1,11081000,3215,-83.87428198
Wuhan,2/1/20,0.6902,1,11081000,4109,-83.8836221
Wuhan,2/2/20,0.6617,1,11081000,5142,-84.54910568
Wuhan,2/3/20,0.693,1,11081000,6384,-83.81824126
