,fips,covid_cases
95,01001,127.0
196,01003,262.0
297,01005,90.0
398,01007,51.0
499,01009,47.0
588,01011,52.0
687,01013,295.0
788,01015,133.0
889,01017,329.0
990,01019,29.0
1091,01021,80.0
1180,01023,92.0
1279,01025,81.0
1368,01027,27.0
1467,01029,13.0
1568,01031,175.0
1669,01033,98.0
1770,01035,21.0
1843,01037,33.0
1942,01039,58.0
2037,01041,52.0
2137,01043,70.0
2238,01045,63.0
2339,01047,159.0
2440,01049,195.0
2541,01051,207.0
2642,01053,39.0
2743,01055,215.0
2832,01057,9.0
2931,01059,364.0
3032,01061,23.0
3133,01063,86.0
3229,01065,96.0
3329,01067,44.0
3430,01069,141.0
3531,01071,63.0
3632,01073,1367.0
3721,01075,15.0
3820,01077,116.0
3921,01079,35.0
4022,01081,450.0
4123,01083,65.0
4224,01085,140.0
4325,01087,54.0
4426,01089,278.0
4527,01091,116.0
4628,01093,106.0
4729,01095,638.0
4830,01097,1751.0
4931,01099,20.0
5031,01101,907.0
5132,01103,119.0
5216,01105,22.0
5301,01107,84.0
5400,01109,110.0
5501,01111,120.0
5602,01113,109.0
5703,01117,404.0
5804,01115,91.0
5888,01119,148.0
5987,01121,81.0
6088,01123,371.0
6189,01125,387.0
6290,01127,148.0
6379,01129,61.0
6454,01131,97.0
6553,01133,45.0
6654,04001,1023.0
6755,04003,46.0
6856,04005,943.0
6957,04007,22.0
7058,04009,20.0
7147,04011,3.0
7246,04012,38.0
7347,04013,7482.0
7448,04015,262.0
7549,04017,1320.0
7650,04019,1888.0
7751,04021,720.0
7852,04023,97.0
7953,04025,269.0
8054,04027,433.0
8155,06001,2522.0
8256,06005,10.0
8357,06007,26.0
8458,06009,13.0
8559,06011,3.0
8660,06013,1192.0
8761,06015,14.0
8862,06017,67.0
8963,06019,1287.0
9064,06021,12.0
9165,06023,86.0
9266,06025,902.0
9367,06027,19.0
9468,06029,1571.0
9569,06031,416.0
9670,06033,11.0
9771,06035,0.0
9872,06037,39573.0
9973,06039,81.0
10074,06041,336.0
10175,06043,15.0
10276,06045,14.0
10377,06047,222.0
10450,06049,0.0
10549,06051,34.0
10650,06053,349.0
10751,06055,92.0
10852,06057,41.0
10953,06059,4500.0
11054,06061,176.0
