,date,county,state,fips,cases,deaths
2309,2020-03-15,Baldwin,Alabama,01003,1,0
2310,2020-03-15,Elmore,Alabama,01051,1,0
2311,2020-03-15,Jefferson,Alabama,01073,13,0
2312,2020-03-15,Lee,Alabama,01081,1,0
2313,2020-03-15,Limestone,Alabama,01083,1,0
2314,2020-03-15,Montgomery,Alabama,01101,1,0
2315,2020-03-15,Shelby,Alabama,01117,2,0
2316,2020-03-15,Tuscaloosa,Alabama,01125,3,0
2317,2020-03-15,Anchorage,Alaska,02020,1,0
2318,2020-03-15,Graham,Arizona,04009,1,0
2319,2020-03-15,Maricopa,Arizona,04013,4,0
2320,2020-03-15,Pima,Arizona,04019,3,0
2321,2020-03-15,Pinal,Arizona,04021,5,0
2322,2020-03-15,Garland,Arkansas,05051,2,0
2323,2020-03-15,Jefferson,Arkansas,05069,5,0
2324,2020-03-15,Pulaski,Arkansas,05119,8,0
2325,2020-03-15,Saline,Arkansas,05125,1,0
2326,2020-03-15,Alameda,California,06001,37,0
2327,2020-03-15,Contra Costa,California,06013,25,0
2328,2020-03-15,Fresno,California,06019,2,0
2329,2020-03-15,Humboldt,California,06023,1,0
2330,2020-03-15,Los Angeles,California,06037,69,1
2331,2020-03-15,Madera,California,06039,1,0
2332,2020-03-15,Marin,California,06041,4,0
2333,2020-03-15,Napa,California,06055,1,0
2334,2020-03-15,Orange,California,06059,17,0
2335,2020-03-15,Placer,California,06061,8,1
2336,2020-03-15,Riverside,California,06065,12,0
2337,2020-03-15,Sacramento,California,06067,32,1
2338,2020-03-15,San Benito,California,06069,1,0
2339,2020-03-15,San Bernardino,California,06071,1,0
2340,2020-03-15,San Diego,California,06073,40,0
2341,2020-03-15,San Francisco,California,06075,37,0
2342,2020-03-15,San Joaquin,California,06077,8,0
2343,2020-03-15,San Luis Obispo,California,06079,2,0
2344,2020-03-15,San Mateo,California,06081,32,1
2345,2020-03-15,Santa Barbara,California,06083,1,0
2346,2020-03-15,Santa Clara,California,06085,114,2
2347,2020-03-15,Santa Cruz,California,06087,2,0
2348,2020-03-15,Shasta,California,06089,1,0
2349,2020-03-15,Solano,California,06095,13,0
2350,2020-03-15,Sonoma,California,06097,5,0
2351,2020-03-15,Stanislaus,California,06099,2,0
2352,2020-03-15,Tulare,California,06107,3,0
2353,2020-03-15,Ventura,California,06111,5,0
2354,2020-03-15,Yolo,California,06113,2,0
2355,2020-03-15,Adams,Colorado,08001,6,0
2356,2020-03-15,Arapahoe,Colorado,08005,15,0
2357,2020-03-15,Boulder,Colorado,08013,7,0
2358,2020-03-15,Clear Creek,Colorado,08019,1,0
2359,2020-03-15,Denver,Colorado,08031,28,0
2360,2020-03-15,Douglas,Colorado,08035,8,0
2361,2020-03-15,Eagle,Colorado,08037,24,0
2362,2020-03-15,El Paso,Colorado,08041,4,2
2363,2020-03-15,Garfield,Colorado,08045,1,0
2364,2020-03-15,Gunnison,Colorado,08051,9,0
2365,2020-03-15,Jefferson,Colorado,08059,12,0
2366,2020-03-15,Larimer,Colorado,08069,1,0
2367,2020-03-15,Mesa,Colorado,08077,1,0
2368,2020-03-15,Pitkin,Colorado,08097,11,0
2369,2020-03-15,Pueblo,Colorado,08101,1,0
2370,2020-03-15,Routt,Colorado,08107,1,0
2371,2020-03-15,Summit,Colorado,08117,2,0
2372,2020-03-15,Weld,Colorado,08123,4,0
2373,2020-03-15,Fairfield,Connecticut,09001,16,0
2374,2020-03-15,Hartford,Connecticut,09003,3,0
2375,2020-03-15,Litchfield,Connecticut,09005,4,0
2376,2020-03-15,New Haven,Connecticut,09009,3,0
2377,2020-03-15,New Castle,Delaware,10003,7,0
2378,2020-03-15,District of Columbia,District of Columbia,11001,17,0
2379,2020-03-15,Alachua,Florida,12001,4,0
2380,2020-03-15,Baker,Florida,12003,1,0
2381,2020-03-15,Broward,Florida,12011,37,0
2382,2020-03-15,Charlotte,Florida,12015,1,0
2383,2020-03-15,Citrus,Florida,12017,1,0
2384,2020-03-15,Clay,Florida,12019,3,0
2385,2020-03-15,Collier,Florida,12021,5,0
2386,2020-03-15,Duval,Florida,12031,4,0
2387,2020-03-15,Hillsborough,Florida,12057,6,0
2388,2020-03-15,Lee,Florida,12071,5,2
2389,2020-03-15,Manatee,Florida,12081,4,0
2390,2020-03-15,Miami-Dade,Florida,12086,13,0
2391,2020-03-15,Nassau,Florida,12089,1,0
2392,2020-03-15,Okaloosa,Florida,12091,1,0
2393,2020-03-15,Orange,Florida,12095,2,0
2394,2020-03-15,Osceola,Florida,12097,1,0
2395,2020-03-15,Palm Beach,Florida,12099,5,0
2396,2020-03-15,Pasco,Florida,12101,2,0
2397,2020-03-15,Pinellas,Florida,12103,2,0
2398,2020-03-15,Santa Rosa,Florida,12113,1,1
2399,2020-03-15,Sarasota,Florida,12115,2,0
2400,2020-03-15,Seminole,Florida,12117,1,0
2401,2020-03-15,St. Johns,Florida,12109,2,0
2402,2020-03-15,Volusia,Florida,12127,5,0
2403,2020-03-15,Bartow,Georgia,13015,9,0
2404,2020-03-15,Charlton,Georgia,13049,1,0
2405,2020-03-15,Cherokee,Georgia,13057,4,0
2406,2020-03-15,Clarke,Georgia,13059,2,0
2407,2020-03-15,Clayton,Georgia,13063,2,0
2408,2020-03-15,Cobb,Georgia,13067,19,1
2409,2020-03-15,Coweta,Georgia,13077,2,0
2410,2020-03-15,DeKalb,Georgia,13089,10,0
2411,2020-03-15,Dougherty,Georgia,13095,6,0
2412,2020-03-15,Fayette,Georgia,13113,5,0
2413,2020-03-15,Floyd,Georgia,13115,4,0
2414,2020-03-15,Fulton,Georgia,13121,20,0
2415,2020-03-15,Gordon,Georgia,13129,2,0
2416,2020-03-15,Gwinnett,Georgia,13135,4,0
2417,2020-03-15,Henry,Georgia,13151,1,0
2418,2020-03-15,Lee,Georgia,13177,2,0
2419,2020-03-15,Lowndes,Georgia,13185,2,0
2420,2020-03-15,Newton,Georgia,13217,1,0
