,date,county,state,fips,cases,deaths
194604,2020-06-01,Autauga,Alabama,01001,234,5
194605,2020-06-01,Baldwin,Alabama,01003,306,9
194606,2020-06-01,Barbour,Alabama,01005,173,1
194607,2020-06-01,Bibb,Alabama,01007,79,1
194608,2020-06-01,Blount,Alabama,01009,65,1
194609,2020-06-01,Bullock,Alabama,01011,210,6
194610,2020-06-01,Butler,Alabama,01013,416,18
194611,2020-06-01,Calhoun,Alabama,01015,172,3
194612,2020-06-01,Chambers,Alabama,01017,370,25
194613,2020-06-01,Cherokee,Alabama,01019,39,3
194614,2020-06-01,Chilton,Alabama,01021,107,1
194615,2020-06-01,Choctaw,Alabama,01023,154,10
194616,2020-06-01,Clarke,Alabama,01025,147,2
194617,2020-06-01,Clay,Alabama,01027,28,2
194618,2020-06-01,Cleburne,Alabama,01029,15,1
194619,2020-06-01,Coffee,Alabama,01031,241,1
194620,2020-06-01,Colbert,Alabama,01033,189,2
194621,2020-06-01,Conecuh,Alabama,01035,41,1
194622,2020-06-01,Coosa,Alabama,01037,40,1
194623,2020-06-01,Covington,Alabama,01039,86,1
194624,2020-06-01,Crenshaw,Alabama,01041,78,3
194625,2020-06-01,Cullman,Alabama,01043,150,1
194626,2020-06-01,Dale,Alabama,01045,124,0
194627,2020-06-01,Dallas,Alabama,01047,279,3
194628,2020-06-01,DeKalb,Alabama,01049,253,3
194629,2020-06-01,Elmore,Alabama,01051,373,8
194630,2020-06-01,Escambia,Alabama,01053,72,3
194631,2020-06-01,Etowah,Alabama,01055,264,12
194632,2020-06-01,Fayette,Alabama,01057,18,0
194633,2020-06-01,Franklin,Alabama,01059,565,8
194634,2020-06-01,Geneva,Alabama,01061,43,0
194635,2020-06-01,Greene,Alabama,01063,95,4
194636,2020-06-01,Hale,Alabama,01065,179,9
194637,2020-06-01,Henry,Alabama,01067,80,2
194638,2020-06-01,Houston,Alabama,01069,231,4
194639,2020-06-01,Jackson,Alabama,01071,84,2
194640,2020-06-01,Jefferson,Alabama,01073,1886,104
194641,2020-06-01,Lamar,Alabama,01075,26,0
194642,2020-06-01,Lauderdale,Alabama,01077,167,2
194643,2020-06-01,Lawrence,Alabama,01079,51,0
194644,2020-06-01,Lee,Alabama,01081,565,33
194645,2020-06-01,Limestone,Alabama,01083,110,0
194646,2020-06-01,Lowndes,Alabama,01085,254,12
194647,2020-06-01,Macon,Alabama,01087,86,4
